,data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_test,note_casi
1226,2020-04-22T17:00:00,3,Lombardia,9692,817,10509,23733,34242,22110,12740,69092,290699,184323.0,,
1227,2020-04-22T17:00:00,11,Marche,735,76,811,2419,3230,1849,845,5924,46492,30543.0,,
1228,2020-04-22T17:00:00,14,Molise,21,2,23,182,205,60,19,284,4425,4252.0,,
1229,2020-04-22T17:00:00,21,P.A. Bolzano,157,19,176,1336,1512,648,256,2416,32722,15736.0,,
1230,2020-04-22T17:00:00,22,P.A. Trento,245,34,279,1595,1874,1391,381,3646,26674,17672.0,,
1231,2020-04-22T17:00:00,1,Piemonte,3213,273,3486,11636,15122,5058,2559,22739,111513,81176.0,,
1232,2020-04-22T17:00:00,16,Puglia,564,60,624,2250,2874,494,362,3730,48342,46925.0,,
1233,2020-04-22T17:00:00,20,Sardegna,97,20,117,716,833,318,96,1247,16886,15354.0,,
1234,2020-04-22T17:00:00,19,Sicilia,500,35,535,1752,2287,388,208,2883,58732,58732.0,,
1235,2020-04-22T17:00:00,9,Toscana,820,174,994,5173,6167,1828,705,8700,114100,91747.0,,
1236,2020-04-22T17:00:00,10,Umbria,97,20,117,254,371,925,61,1357,27655,18679.0,,
1237,2020-04-22T17:00:00,2,Valle d'Aosta,92,8,100,401,501,467,127,1095,5024,4011.0,,
1238,2020-04-22T17:00:00,5,Veneto,1205,163,1368,8623,9991,5566,1181,16738,277543,171735.0,,
1239,2020-04-23T17:00:00,13,Abruzzo,322,31,353,1747,2100,405,280,2785,31187,24751.0,,
1240,2020-04-23T17:00:00,17,Basilicata,61,7,68,161,229,103,24,356,8511,8511.0,,
1241,2020-04-23T17:00:00,18,Calabria,129,7,136,687,823,170,76,1069,27869,26187.0,,
1242,2020-04-23T17:00:00,15,Campania,539,47,586,2392,2978,928,332,4238,58324,38679.0,,
1243,2020-04-23T17:00:00,8,Emilia-Romagna,2889,266,3155,9690,12845,7609,3269,23723,146146,99714.0,,
1244,2020-04-23T17:00:00,6,Friuli Venezia Giulia,138,18,156,979,1135,1467,256,2858,52918,34057.0,,
1245,2020-04-23T17:00:00,12,Lazio,1385,186,1571,2915,4486,1193,375,6054,111073,26298.0,,
1246,2020-04-23T17:00:00,7,Liguria,783,91,874,2592,3466,2536,1047,7049,37842,25045.0,,
1247,2020-04-23T17:00:00,3,Lombardia,9192,790,9982,23891,33873,23352,12940,70165,302715,190451.0,,
1248,2020-04-23T17:00:00,11,Marche,727,71,798,2432,3230,1865,857,5952,47662,31673.0,,
1249,2020-04-23T17:00:00,14,Molise,19,1,20,178,198,66,20,284,4564,4478.0,,
1250,2020-04-23T17:00:00,21,P.A. Bolzano,141,17,158,1336,1494,680,261,2435,33994,16442.0,,
1251,2020-04-23T17:00:00,22,P.A. Trento,234,29,263,1608,1871,1474,382,3727,28240,18656.0,,
1252,2020-04-23T17:00:00,1,Piemonte,3039,261,3300,11852,15152,5358,2630,23140,117970,84648.0,,
1253,2020-04-23T17:00:00,16,Puglia,536,55,591,2345,2936,531,372,3839,50410,49403.0,,
1254,2020-04-23T17:00:00,20,Sardegna,90,20,110,707,817,339,98,1254,17844,16094.0,,
1255,2020-04-23T17:00:00,19,Sicilia,476,34,510,1791,2301,412,213,2926,62150,62150.0,,
1256,2020-04-23T17:00:00,9,Toscana,791,168,959,5212,6171,1886,723,8780,118177,94426.0,,
1257,2020-04-23T17:00:00,10,Umbria,100,19,119,236,355,946,61,1362,29011,19627.0,,
1258,2020-04-23T17:00:00,2,Valle d'Aosta,91,9,100,363,463,506,127,1096,5227,4133.0,,
1259,2020-04-23T17:00:00,5,Veneto,1189,140,1329,8596,9925,5750,1206,16881,288075,177154.0,,
1260,2020-04-24T17:00:00,13,Abruzzo,327,28,355,1724,2079,438,286,2803,32397,25397.0,,
1261,2020-04-24T17:00:00,17,Basilicata,59,7,66,163,229,107,24,360,9026,9026.0,,
1262,2020-04-24T17:00:00,18,Calabria,123,7,130,691,821,178,80,1079,28764,26811.0,,
1263,2020-04-24T17:00:00,15,Campania,524,44,568,2375,2943,1003,336,4282,61331,40053.0,,
1264,2020-04-24T17:00:00,8,Emilia-Romagna,2807,264,3071,9438,12509,8158,3303,23970,151505,102495.0,,
1265,2020-04-24T17:00:00,6,Friuli Venezia Giulia,136,16,152,1168,1320,1304,258,2882,55502,35547.0,,
1266,2020-04-24T17:00:00,12,Lazio,1396,184,1580,2912,4492,1256,384,6132,114317,86545.0,,
1267,2020-04-24T17:00:00,7,Liguria,760,87,847,2590,3437,2660,1076,7173,39563,26040.0,,
1268,2020-04-24T17:00:00,3,Lombardia,8791,756,9547,24821,34368,23782,13106,71256,314298,196406.0,,
1269,2020-04-24T17:00:00,11,Marche,705,61,766,2507,3273,1890,865,6028,49163,33113.0,,
1270,2020-04-24T17:00:00,14,Molise,19,1,20,180,200,67,20,287,4805,4718.0,,
1271,2020-04-24T17:00:00,21,P.A. Bolzano,148,16,164,929,1093,1100,263,2456,35062,17024.0,,
1272,2020-04-24T17:00:00,22,P.A. Trento,224,28,252,1575,1827,1560,389,3776,29779,19250.0,,
1273,2020-04-24T17:00:00,1,Piemonte,2918,257,3175,12216,15391,5732,2699,23822,125300,89392.0,,
1274,2020-04-24T17:00:00,16,Puglia,496,51,547,2386,2933,565,383,3881,52472,51517.0,,
1275,2020-04-24T17:00:00,20,Sardegna,95,19,114,690,804,351,102,1257,19889,18050.0,,
1276,2020-04-24T17:00:00,19,Sicilia,461,32,493,1827,2320,443,218,2981,65165,63626.0,,
1277,2020-04-24T17:00:00,9,Toscana,738,159,897,5236,6133,2002,742,8877,121336,96180.0,,
1278,2020-04-24T17:00:00,10,Umbria,94,19,113,209,322,979,62,1363,30524,20733.0,,
1279,2020-04-24T17:00:00,2,Valle d'Aosta,88,7,95,259,354,617,129,1100,5262,4454.0,,
1280,2020-04-24T17:00:00,5,Veneto,1159,130,1289,8390,9679,6306,1244,17229,296896,181473.0,,
1281,2020-04-25T17:00:00,13,Abruzzo,323,26,349,1712,2061,478,293,2832,33624,25959.0,,
1282,2020-04-25T17:00:00,17,Basilicata,58,7,65,153,218,118,25,361,9792,9792.0,,
1283,2020-04-25T17:00:00,18,Calabria,125,7,132,679,811,197,80,1088,29959,28006.0,,
1284,2020-04-25T17:00:00,15,Campania,543,55,598,2337,2935,1023,341,4299,64521,41399.0,,
1285,2020-04-25T17:00:00,8,Emilia-Romagna,2718,246,2964,9383,12347,8515,3347,24209,156883,105628.0,,
1286,2020-04-25T17:00:00,6,Friuli Venezia Giulia,122,15,137,947,1084,1556,263,2903,58375,37211.0,,
1287,2020-04-25T17:00:00,12,Lazio,1421,183,1604,2957,4561,1276,387,6224,118354,90582.0,,
1288,2020-04-25T17:00:00,7,Liguria,759,83,842,2591,3433,2775,1093,7301,41125,26898.0,,
1289,2020-04-25T17:00:00,3,Lombardia,8489,724,9213,25260,34473,24227,13269,71969,326940,202827.0,,
1290,2020-04-25T17:00:00,11,Marche,689,58,747,2525,3272,1912,874,6058,50996,34256.0,,
1291,2020-04-25T17:00:00,14,Molise,19,1,20,178,198,73,21,292,5191,5089.0,,
1292,2020-04-25T17:00:00,21,P.A. Bolzano,141,14,155,880,1035,1176,265,2476,36608,17573.0,,
1293,2020-04-25T17:00:00,22,P.A. Trento,202,27,229,1515,1744,1694,400,3838,30661,19394.0,,
1294,2020-04-25T17:00:00,1,Piemonte,2937,238,3175,12327,15502,6157,2767,24426,131107,93325.0,,
1295,2020-04-25T17:00:00,16,Puglia,469,48,517,2402,2919,602,391,3912,54628,53500.0,,
1296,2020-04-25T17:00:00,20,Sardegna,96,18,114,680,794,374,103,1271,20351,18480.0,,
1297,2020-04-25T17:00:00,19,Sicilia,452,33,485,1787,2272,524,224,3020,68251,64892.0,,
1298,2020-04-25T17:00:00,9,Toscana,687,166,853,5293,6146,2109,760,9015,125495,98753.0,,
1299,2020-04-25T17:00:00,10,Umbria,95,18,113,184,297,1006,63,1366,31939,21842.0,,
1300,2020-04-25T17:00:00,2,Valle d'Aosta,83,6,89,224,313,657,130,1100,5966,4694.0,,
1301,2020-04-25T17:00:00,5,Veneto,1105,129,1234,8198,9432,6671,1288,17391,306977,186426.0,,
1302,2020-04-26T17:00:00,13,Abruzzo,324,24,348,1720,2068,496,295,2859,33820,26184.0,,
1303,2020-04-26T17:00:00,17,Basilicata,57,7,64,155,219,122,25,366,10077,10077.0,,
1304,2020-04-26T17:00:00,18,Calabria,118,8,126,671,797,212,80,1089,30853,28900.0,,
1305,2020-04-26T17:00:00,15,Campania,536,45,581,2343,2924,1062,345,4331,67218,42279.0,,
1306,2020-04-26T17:00:00,8,Emilia-Romagna,2695,245,2940,9401,12341,8723,3386,24450,161928,109192.0,,
1307,2020-04-26T17:00:00,6,Friuli Venezia Giulia,129,13,142,1106,1248,1405,264,2917,59681,38202.0,,
1308,2020-04-26T17:00:00,12,Lazio,1442,161,1603,2970,4573,1347,389,6309,121677,93811.0,,
1309,2020-04-26T17:00:00,7,Liguria,748,82,830,2650,3480,2894,1114,7488,42607,27852.0,,
1310,2020-04-26T17:00:00,3,Lombardia,8481,706,9187,25979,35166,24398,13325,72889,337797,208471.0,,
1311,2020-04-26T17:00:00,11,Marche,668,58,726,2582,3308,1924,879,6111,52063,35107.0,,
1312,2020-04-26T17:00:00,14,Molise,20,1,21,179,200,75,21,296,5567,5334.0,,
1313,2020-04-26T17:00:00,21,P.A. Bolzano,138,14,152,842,994,1218,269,2481,37431,17895.0,,
1314,2020-04-26T17:00:00,22,P.A. Trento,199,24,223,1459,1682,1807,405,3894,32142,19902.0,,
1315,2020-04-26T17:00:00,1,Piemonte,2866,214,3080,12439,15519,6478,2823,24820,135142,96977.0,,
1316,2020-04-26T17:00:00,16,Puglia,464,48,512,2425,2937,612,399,3948,55992,55397.0,,
1317,2020-04-26T17:00:00,20,Sardegna,95,20,115,668,783,388,109,1280,21101,19162.0,,
1318,2020-04-26T17:00:00,19,Sicilia,445,33,478,1629,2107,720,228,3055,70104,65689.0,,
1319,2020-04-26T17:00:00,9,Toscana,677,158,835,5234,6069,2300,778,9147,127394,99751.0,,
1320,2020-04-26T17:00:00,10,Umbria,91,17,108,188,296,1008,64,1368,32569,22320.0,,
1321,2020-04-26T17:00:00,2,Valle d'Aosta,82,7,89,165,254,721,131,1106,6135,4624.0,,
1322,2020-04-26T17:00:00,5,Veneto,1097,124,1221,7917,9138,7018,1315,17471,316361,183513.0,,
1323,2020-04-27T17:00:00,13,Abruzzo,328,23,351,1679,2030,545,299,2874,34176,26443.0,,
1324,2020-04-27T17:00:00,17,Basilicata,57,7,64,153,217,124,25,366,10364,10364.0,,
1325,2020-04-27T17:00:00,18,Calabria,114,6,120,662,782,231,83,1096,31787,29834.0,,
1326,2020-04-27T17:00:00,15,Campania,541,37,578,2299,2877,1120,352,4349,68727,42463.0,,
1327,2020-04-27T17:00:00,8,Emilia-Romagna,2640,247,2887,9338,12225,9006,3431,24662,164979,111041.0,,
1328,2020-04-27T17:00:00,6,Friuli Venezia Giulia,130,13,143,1115,1258,1448,271,2977,60940,39330.0,,
1329,2020-04-27T17:00:00,12,Lazio,1464,143,1607,2955,4562,1433,397,6392,124769,95719.0,,
1330,2020-04-27T17:00:00,7,Liguria,754,83,837,2743,3580,2934,1128,7642,44039,28739.0,,
1331,2020-04-27T17:00:00,3,Lombardia,7525,680,8205,27236,35441,24589,13449,73479,342850,211523.0,,
1332,2020-04-27T17:00:00,11,Marche,667,58,725,2585,3310,1933,884,6127,52765,35617.0,,
1333,2020-04-27T17:00:00,14,Molise,20,1,21,179,200,75,21,296,5656,5423.0,,
1334,2020-04-27T17:00:00,21,P.A. Bolzano,150,16,166,774,940,1286,270,2496,38640,18423.0,,
